book_id,earliest_observed_year,earliest_year_edition_records,earliest_country_codes,earliest_country_code_count,earliest_publication_places,earliest_publication_place_count,earliest_publishers,earliest_publisher_count,earliest_geography_status
BOOK00171,1996,2,['ctu'],1,"['Greenwich, Conn']",1,['JAI Press'],1,single_country_evidence
BOOK00172,2024,2,[],0,[],0,['Productivity Press'],1,no_geographic_evidence
BOOK00173,1992,1,['xxu'],1,"['San Diego, Calif']",1,['Pfeiffer'],1,single_country_evidence
BOOK00174,2014,5,[],0,[],0,['Taylor & Francis Group'],1,no_geographic_evidence
BOOK00175,2016,1,[],0,[],0,['Independently Published'],1,no_geographic_evidence
BOOK00176,2008,1,['pau'],1,['Hershey PA'],1,['Information Science Reference'],1,single_country_evidence
BOOK00177,2009,2,[],0,[],0,['Institution of Engineering & Technology'],1,no_geographic_evidence
BOOK00178,2013,5,[],0,[],0,"['Routledge', 'Taylor & Francis Group']",2,no_geographic_evidence
BOOK00179,2013,1,[],0,[],0,['Independent Publisher'],1,no_geographic_evidence
BOOK00180,2008,1,['dcu'],1,"['[Washington, D.C.]', '[Boston, Mass.]']",2,"['U.S. Army', 'Pearson Custom Publishing']",2,single_country_evidence
BOOK00181,1998,1,[],0,[],0,['Rowman & Littlefield Education'],1,no_geographic_evidence
BOOK00182,1996,1,['ko'],1,['Sŏul-si'],1,['Hanʾguk Nŭngnyul Hyŏphoe'],1,single_country_evidence
BOOK00183,2005,1,[],0,[],0,"['Sage Publications, Inc']",1,no_geographic_evidence
BOOK00184,2002,1,[],0,[],0,['Jossey-Bass'],1,no_geographic_evidence
BOOK00185,1970,2,['mou'],1,['Saint Louis'],1,['Mosby'],1,single_country_evidence
BOOK00186,1994,1,['nz'],1,"['Wellington, NZ']",1,['Champagne Consultants'],1,single_country_evidence
BOOK00187,2011,1,[],0,[],0,['CreateSpace Independent Publishing Platform'],1,no_geographic_evidence
BOOK00188,2007,1,[],0,[],0,"['Wiley & Sons, Incorporated, John']",1,no_geographic_evidence
BOOK00189,2015,4,['nyu'],1,[],0,"['Penguin Books, Limited', 'Penguin Group USA', 'Penguin Audio', 'Portfolio/Penguin']",4,single_country_evidence
BOOK00190,2014,1,[],0,[],0,"['Taylor & Francis Group', 'Routledge, Taylor & Francis Group']",2,no_geographic_evidence
BOOK00191,2005,1,[],0,[],0,['LeaderTreks'],1,no_geographic_evidence
BOOK00192,1994,1,['ilu'],1,"['Rockford, IL']",1,['Spring Brook Press'],1,single_country_evidence
BOOK00193,1997,2,[],0,[],0,"['Lea', 'Lawrence Erlbaum Associates']",2,no_geographic_evidence
BOOK00194,2003,2,[],0,[],0,['Quality Press'],1,no_geographic_evidence
BOOK00195,2012,3,['nyu'],1,['New York'],1,"['Routledge', 'Taylor & Francis Group']",2,single_country_evidence
BOOK00196,1991,1,['ilu'],1,"['Downers Grove, Ill']",1,['InterVarsity Press'],1,single_country_evidence
BOOK00197,2018,4,[],0,[],0,['Independently Published'],1,no_geographic_evidence
BOOK00198,2017,1,[],0,[],0,['North Atlantic Books'],1,no_geographic_evidence
BOOK00199,2015,3,[],0,[],0,"['Lang AG International Academic Publishers, Peter']",1,no_geographic_evidence
BOOK00200,2013,6,['enk'],1,"['Hove, East Sussex', 'New York']",2,"['Routledge', 'Taylor & Francis Group']",2,single_country_evidence
BOOK00201,2010,1,['gau'],1,"['Macon, Ga']",1,['Smyth & Helwys Pub.'],1,single_country_evidence
BOOK00202,1986,1,['xxu'],1,"['Alexandria, Va. ((1009 Duke St., Alexandria 22314))']",1,['Miles River Press'],1,single_country_evidence
BOOK00203,1998,1,['vau'],1,"['Alexandria, Va']",1,['Miles River Press'],1,single_country_evidence
BOOK00204,1989,1,['xxk'],1,[],0,['Prentice Hall'],1,single_country_evidence
BOOK00205,2021,1,[],0,[],0,['Independently Published'],1,no_geographic_evidence
BOOK00206,2020,3,[],0,[],0,['Emerald Publishing Limited'],1,no_geographic_evidence
BOOK00207,2023,4,[],0,[],0,['IGI Global'],1,no_geographic_evidence
BOOK00208,2017,2,['nju'],1,[],0,['Red Wheel/Weiser'],1,single_country_evidence
BOOK00209,2008,9,"['nyu', 'nju']",2,"['New York', 'Hoboken, N.J']",2,"['Wiley & Sons, Incorporated, John', 'Brilliance Audio on MP3-CD', 'Brilliance Audio Unabridged Lib Ed', 'Brilliance Audio on CD Unabridged Lib Ed', 'Wiley', 'John Wiley & Sons, Ltd.', 'Brilliance Audio on MP3-CD Lib Ed', 'John Wiley & Sons, Inc.', 'Brilliance Audio on CD Unabridged']",9,multiple_country_evidence
BOOK00210,2011,2,['vtu'],1,"['Woodstock, VT']",1,"['LongHill Partners, Incorporated', 'SkyLight Paths Pub.']",2,single_country_evidence
BOOK00211,1995,1,['ilu'],1,"['Chicago, Ill']",1,['American Hospital Association'],1,single_country_evidence
BOOK00212,2024,3,[],0,[],0,['Emerald Publishing Limited'],1,no_geographic_evidence
BOOK00213,1992,1,['mau'],1,"['Amherst, Mass']",1,['Human Resource Development Press'],1,single_country_evidence
BOOK00214,2005,1,[],0,[],0,['Cosimo Books'],1,no_geographic_evidence
BOOK00215,1999,1,[],0,[],0,['Blackhall Publishing Ltd'],1,no_geographic_evidence
BOOK00216,2014,1,[],0,[],0,['Authors Place Press'],1,no_geographic_evidence
BOOK00217,2021,3,[],0,[],0,"['Scribe Media', 'Lioncrest Publishing']",2,no_geographic_evidence
BOOK00218,2021,1,[],0,[],0,"['Springer International Publishing AG', 'MOXIC', 'Palgrave Macmillan']",3,no_geographic_evidence
BOOK00219,2002,1,[],0,[],0,['Society for Promoting Christian'],1,no_geographic_evidence
BOOK00220,2005,1,['ug'],1,"['Kampala', 'Oxford, U.K']",2,"['Fountain Publishers', 'Distributed in Europe, North America, and Australia by African Books Collective']",2,single_country_evidence
BOOK00221,2010,2,['aru'],1,['Little Rock'],1,"['Dobbs Leadership', 'Parkhurst Brothers, Inc.']",2,single_country_evidence
BOOK00222,2008,1,['nyu'],1,"['New York, NY']",1,['Girl Scouts of the USA'],1,single_country_evidence
BOOK00223,2014,3,[],0,[],0,['BRILL'],1,no_geographic_evidence
BOOK00224,2004,1,[],0,[],0,"['Berrett-Koehler Publishers, Incorporated']",1,no_geographic_evidence
BOOK00225,2017,4,[],0,[],0,['Taylor & Francis Group'],1,no_geographic_evidence
BOOK00226,2015,1,['nyu'],1,"['Maryknoll, New York']",1,['Orbis Books'],1,single_country_evidence
BOOK00227,2025,5,[],0,[],0,['IGI Global Scientific Publishing'],1,no_geographic_evidence
BOOK00228,2024,1,[],0,[],0,"['iUniverse, Incorporated']",1,no_geographic_evidence
BOOK00229,1996,1,['tnu'],1,"['Nashville, Tenn']",1,['Broadman & Holman'],1,single_country_evidence
BOOK00230,1989,2,['dcu'],1,"['Washington, D.C']",1,"['Community College Press, American Association of Community and Junior Colleges', 'National Center for Higher Education']",2,single_country_evidence
BOOK00231,2024,2,[],0,[],0,['Palmetto Publishing'],1,no_geographic_evidence
BOOK00232,2018,5,[],0,[],0,"['Taylor & Francis Group', 'Routledge']",2,no_geographic_evidence
BOOK00233,2025,3,[],0,[],0,['USA Book Services'],1,no_geographic_evidence
BOOK00234,1977,1,['nyu'],1,['New York'],1,['Paulist Press'],1,single_country_evidence
BOOK00235,2008,1,['inu'],1,"['Westfield, Ind']",1,['Greenleaf Center for Servant Leadership'],1,single_country_evidence
BOOK00236,1998,4,['cau'],1,"['San Francisco, Calif']",1,"['Berrett-Koehler Publishers, Incorporated', 'Berrett-Koehler Publishers']",2,single_country_evidence
BOOK00238,2004,1,['us'],1,"['St. Louis, MO']",1,['Chalice Press'],1,single_country_evidence
BOOK00239,2013,1,[],0,[],0,['Inspect & Adapt Ltd'],1,no_geographic_evidence
BOOK00240,2009,1,['nyu'],1,['New York'],1,['McGraw-Hill'],1,single_country_evidence
BOOK00241,2009,1,['nyu'],1,['New York'],1,['Paulist Press'],1,single_country_evidence
BOOK00242,2008,1,['inu'],1,"['Hammond, IN']",1,['Hyles Publications'],1,single_country_evidence
BOOK00243,1995,1,['nyu'],1,['New York'],1,['J. Wiley'],1,single_country_evidence
BOOK00244,1987,1,['txu'],1,"['Waco, Tex']",1,['Word Books'],1,single_country_evidence
BOOK00245,1977,1,[],0,[],0,['Paulist Press'],1,no_geographic_evidence
BOOK00246,2010,1,['enk'],1,"['Houndmills, Basingstoke, Hampshire', 'New York']",2,['Palgrave Macmillan'],1,single_country_evidence
BOOK00247,1998,1,['ksu'],1,"['[Kirksville, MO']",1,['National Fraternity of the Secular Franciscan Order-USA]'],1,single_country_evidence
BOOK00248,2001,1,[],0,[],0,['Wiley'],1,no_geographic_evidence
BOOK00249,2018,2,[],0,[],0,"['ReadHowYouWant', 'Berrett-Koehler Publishers']",2,no_geographic_evidence
BOOK00250,2019,1,[],0,[],0,['Independently Published'],1,no_geographic_evidence
BOOK00251,2001,1,['mou'],1,"['St. Louis, MO']",1,['Concordia Pub. House'],1,single_country_evidence
BOOK00252,2011,1,['mdu'],1,"['Lanham, Md']",1,['Rowman & Littlefield Education'],1,single_country_evidence
BOOK00253,2008,1,[],0,[],0,['Taylor & Francis Group'],1,no_geographic_evidence
BOOK00254,2002,1,[],0,[],0,['Paternoster Pub'],1,no_geographic_evidence
BOOK00255,2004,1,[],0,[],0,['Berrett-Koehler Publishers'],1,no_geographic_evidence
